Param: T,Tseq,T1,T1 error,T6,T6 error,overhead,a_speedup
1,870.222391,6722.917542,3251.749954,25230.7461,5878.434314,7.725516617,0.034490553
10,870.222391,2724.846587,522.055859,5017.028194,149.554673,3.131207166,0.173453757
100,870.222391,1664.595557,63.037021,984.843623,38.717986,1.912839263,0.88361479
1000,870.222391,963.233024,49.057709,268.750956,12.421412,1.106881452,3.238025285
2500,870.222391,965.50339,40.745449,240.593,10.958697,1.109490402,3.616989651
5000,870.222391,923.758301,39.1318,225.045838,11.386233,1.061519803,3.866867296
7500,870.222391,894.313423,22.442959,211.93761,10.012681,1.027683765,4.106030973
10000,870.222391,881.296146,25.321189,212.264982,10.566281,1.012725201,4.099698324
25000,870.222391,880.386395,12.378188,199.084961,7.558417,1.011679778,4.371110639
50000,870.222391,899.306173,40.263447,193.035624,9.679164,1.033421091,4.508092201
75000,870.222391,880.857237,10.238409,179.287716,9.63598,1.012220837,4.853775877
100000,870.222391,900.592542,41.528151,178.524053,10.004996,1.034899299,4.87453862
250000,870.222391,892.432806,42.213468,169.156491,5.34781,1.025522688,5.144481219
500000,870.222391,864.456918,31.606722,165.176802,4.310386,0.993374713,5.268429831
750000,870.222391,875.466467,35.383629,165.052537,3.004749,1.006026133,5.272396334
1000000,870.222391,890.330967,51.984913,169.168859,5.892756,1.023107399,5.144105104
2500000,871.57235,881.837978,39.205869,172.134746,1.992423,1.011778286,5.063314469
5000000,871.57235,872.226279,40.491639,174.959535,5.971798,1.000750287,4.981565309
10000000,871.57235,910.323226,52.384479,181.579288,5.865723,1.044460883,4.799954662
