"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: T"
"pc.phaseOne.speedup.benchmark","avgt",1,25,25230.746098,5878.434314,"ms/op",1
"pc.phaseOne.speedup.benchmark","avgt",1,25,5017.028194,149.554673,"ms/op",10
"pc.phaseOne.speedup.benchmark","avgt",1,25,984.843623,38.717986,"ms/op",100
"pc.phaseOne.speedup.benchmark","avgt",1,25,268.750956,12.421412,"ms/op",1000
"pc.phaseOne.speedup.benchmark","avgt",1,25,240.593000,10.958697,"ms/op",2500
"pc.phaseOne.speedup.benchmark","avgt",1,25,225.045838,11.386233,"ms/op",5000
"pc.phaseOne.speedup.benchmark","avgt",1,25,211.937610,10.012681,"ms/op",7500
"pc.phaseOne.speedup.benchmark","avgt",1,25,212.264982,10.566281,"ms/op",10000
"pc.phaseOne.speedup.benchmark","avgt",1,25,199.084961,7.558417,"ms/op",25000
"pc.phaseOne.speedup.benchmark","avgt",1,25,193.035624,9.679164,"ms/op",50000
"pc.phaseOne.speedup.benchmark","avgt",1,25,179.287716,9.635980,"ms/op",75000
"pc.phaseOne.speedup.benchmark","avgt",1,25,178.524053,10.004996,"ms/op",100000
"pc.phaseOne.speedup.benchmark","avgt",1,25,169.156491,5.347810,"ms/op",250000
"pc.phaseOne.speedup.benchmark","avgt",1,25,165.176802,4.310386,"ms/op",500000
"pc.phaseOne.speedup.benchmark","avgt",1,25,165.052537,3.004749,"ms/op",750000
"pc.phaseOne.speedup.benchmark","avgt",1,25,169.168859,5.892756,"ms/op",1000000
