"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: T"
"pc.phaseTwo.speedup.benchmark","avgt",1,25,7619.313655,291.861630,"ms/op",100
"pc.phaseTwo.speedup.benchmark","avgt",1,25,195.009780,9.840727,"ms/op",1000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,159.520470,2.518609,"ms/op",2500
"pc.phaseTwo.speedup.benchmark","avgt",1,25,145.626811,5.359181,"ms/op",5000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,138.960254,0.758191,"ms/op",7500
"pc.phaseTwo.speedup.benchmark","avgt",1,25,138.840879,0.672435,"ms/op",10000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,136.494212,1.197196,"ms/op",25000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,134.726138,1.444525,"ms/op",50000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,133.028266,0.136938,"ms/op",75000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,133.117613,0.218585,"ms/op",100000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,134.270163,1.354764,"ms/op",250000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,133.604774,0.231703,"ms/op",500000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,133.518947,0.334531,"ms/op",750000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,134.965138,0.119853,"ms/op",1000000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,138.776929,0.146687,"ms/op",2500000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,146.689646,0.157655,"ms/op",5000000
"pc.phaseTwo.speedup.benchmark","avgt",1,25,160.540706,0.196966,"ms/op",10000000
