,Score,Score Error (99.9%),Cores,speedup,deltaSpeedUp
0,864.500809,13.726467,1,1.0,
1,433.796873,10.259461,2,1.9928700800017063,0.9928700800017063
2,283.631893,10.284895,3,3.0479675605451044,1.0550974805433981
3,212.209255,10.879663,4,4.073812939968146,1.0258453794230418
4,163.551299,3.457949,5,5.285808271079523,1.2119953311113765
5,152.922159,5.057545,6,5.653208237793713,0.3673999667141903
6,140.735384,1.713611,7,6.1427395472911055,0.48953130949739254
7,138.943148,1.327364,8,6.221975113159233,0.07923556586812719
8,137.391216,0.689865,9,6.2922567698942276,0.07028165673499487
9,137.320469,0.329526,10,6.295498517413307,0.003241747519079574
10,137.219113,0.200805,11,6.300148646202079,0.004650128788771468
11,137.580398,0.152422,12,6.283604507380478,-0.016544138821600995
